workerid,proliferate.condition,answer_of_comprehension,block_sequence,choosed_choice,comprehension_response,experiment_condition,first_response_value,group,item_condition,item_group,item_number,item_type,rating,rating_response,response_correctness,trial_sequence_total,wrong_attempts,error
300,default,,5,0,0,WH,,,FILL,RP,32,,,1,Correct,15,,
300,default,,6,1,0,WH,,,WH,RP,19,,,0.64,Correct,16,,
300,default,,6,1,0,WH,,,FILL,RP,31,,,0.97,Correct,17,,
300,default,,6,2,1,WH,,,UG,RP,43,,,0,Incorrect,18,,
300,default,,7,1,0,WH,,,WH,RP,18,,,0.42,Correct,19,,
300,default,,7,1,0,WH,,,UG,RP,42,,,0.2,Correct,20,,
300,default,,7,0,0,WH,,,FILL,RP,30,,,0.99,Correct,21,,
300,default,,8,0,0,WH,,,UG,RP,41,,,0.16,Correct,22,,
300,default,,8,1,0,WH,,,WH,RP,17,,,0.9,Correct,23,,
300,default,,8,1,0,WH,,,FILL,RP,29,,,0.91,Correct,24,,
300,default,,9,2,0,WH,,,WH,RP,16,,,0.61,Correct,25,,
300,default,,9,1,1,WH,,,UG,RP,40,,,0.01,Incorrect,26,,
300,default,,9,0,0,WH,,,FILL,RP,28,,,0.93,Correct,27,,
300,default,,10,1,2,WH,,,UG,RP,39,,,0.17,Incorrect,28,,
300,default,,10,0,0,WH,,,WH,RP,15,,,0.64,Correct,29,,
300,default,,10,0,0,WH,,,FILL,RP,27,,,0.83,Correct,30,,
300,default,,11,0,1,WH,,,WH,RP,14,,,0.9,Incorrect,31,,
300,default,,11,2,0,WH,,,FILL,RP,26,,,0.94,Correct,32,,
300,default,,11,0,0,WH,,,UG,RP,38,,,0.04,Correct,33,,
300,default,,12,1,0,WH,,,FILL,RP,25,,,0.92,Correct,34,,
300,default,,12,0,0,WH,,,UG,RP,37,,,0.05,Correct,35,,
300,default,,12,2,0,WH,,,WH,RP,13,,,0.58,Correct,36,,
121,default,b,practice,,,,,RP,,,practice_good,practice_good,0.9,,,0,0,
121,default,d,practice,,,,c,RP,,,practice_good,practice_good,0.04,,,0,3,
121,default,,1,1,1,CNPC,,,CNPC,RP,12,,,0.26,Incorrect,1,,
121,default,,1,2,0,CNPC,,,FILL,RP,36,,,0.88,Correct,2,,
121,default,,1,3,3,CNPC,,,UG,RP,48,,,0,Don't know,3,,
121,default,,2,1,0,CNPC,,,FILL,RP,35,,,0.74,Correct,4,,
121,default,,2,2,2,CNPC,,,CNPC,RP,11,,,0.31,Incorrect,5,,
121,default,,2,3,3,CNPC,,,UG,RP,47,,,0.03,Don't know,6,,
121,default,,3,1,0,CNPC,,,FILL,RP,34,,,0.85,Correct,7,,
121,default,,3,2,1,CNPC,,,CNPC,RP,10,,,0.32,Incorrect,8,,
121,default,,3,3,3,CNPC,,,UG,RP,46,,,0,Don't know,9,,
121,default,,4,0,0,CNPC,,,FILL,RP,33,,,0.82,Correct,10,,
121,default,,4,3,3,CNPC,,,UG,RP,45,,,0.01,Don't know,11,,
121,default,,4,2,2,CNPC,,,CNPC,RP,9,,,0.09,Incorrect,12,,
121,default,,5,3,3,CNPC,,,UG,RP,44,,,0,Don't know,13,,
121,default,,5,2,0,CNPC,,,FILL,RP,32,,,0.66,Correct,14,,
121,default,,5,2,2,CNPC,,,CNPC,RP,8,,,0.54,Incorrect,15,,
121,default,,6,0,0,CNPC,,,CNPC,RP,7,,,0.44,Correct,16,,
121,default,,6,3,3,CNPC,,,UG,RP,43,,,0,Don't know,17,,
121,default,,6,1,0,CNPC,,,FILL,RP,31,,,0.7,Correct,18,,
121,default,,7,1,0,CNPC,,,UG,RP,42,,,0.02,Correct,19,,
121,default,,7,0,0,CNPC,,,FILL,RP,30,,,0.92,Correct,20,,
121,default,,7,2,0,CNPC,,,CNPC,RP,6,,,0.52,Correct,21,,
121,default,,8,2,0,CNPC,,,CNPC,RP,5,,,0.41,Correct,22,,
121,default,,8,3,3,CNPC,,,UG,RP,41,,,0.03,Don't know,23,,
121,default,,8,2,0,CNPC,,,FILL,RP,29,,,0.54,Correct,24,,
121,default,,9,2,1,CNPC,,,CNPC,RP,4,,,0.43,Incorrect,25,,
121,default,,9,0,0,CNPC,,,FILL,RP,28,,,0.62,Correct,26,,
121,default,,9,3,3,CNPC,,,UG,RP,40,,,0,Don't know,27,,
121,default,,10,3,3,CNPC,,,UG,RP,39,,,0.04,Don't know,28,,
121,default,,10,0,0,CNPC,,,FILL,RP,27,,,0.64,Correct,29,,
121,default,,10,2,2,CNPC,,,CNPC,RP,3,,,0.45,Incorrect,30,,
121,default,,11,2,0,CNPC,,,FILL,RP,26,,,0.93,Correct,31,,
121,default,,11,3,3,CNPC,,,UG,RP,38,,,0.01,Don't know,32,,
121,default,,11,0,1,CNPC,,,CNPC,RP,2,,,0.5,Incorrect,33,,
121,default,,12,1,2,CNPC,,,CNPC,RP,1,,,0.27,Incorrect,34,,
121,default,,12,3,3,CNPC,,,UG,RP,37,,,0.01,Don't know,35,,
121,default,,12,0,0,CNPC,,,FILL,RP,25,,,0.8,Correct,36,,
108,default,b,practice,,,,,GAP,,,practice_good,practice_good,0.96,,,0,0,
108,default,d,practice,,,,,GAP,,,practice_good,practice_good,0.01,,,0,0,
108,default,,1,3,3,CNPC,,,UG,GAP,48,,,0,Don't know,1,,
108,default,,1,3,3,CNPC,,,FILL,GAP,36,,,0.29,Don't know,2,,
108,default,,1,3,3,CNPC,,,CNPC,GAP,12,,,0.28,Don't know,3,,
108,default,,2,2,0,CNPC,,,FILL,GAP,35,,,0.99,Correct,4,,
108,default,,2,2,0,CNPC,,,CNPC,GAP,11,,,0.52,Correct,5,,
108,default,,2,3,3,CNPC,,,UG,GAP,47,,,0.01,Don't know,6,,
108,default,,3,0,0,CNPC,,,FILL,GAP,34,,,0.97,Correct,7,,
108,default,,3,3,3,CNPC,,,CNPC,GAP,10,,,0.01,Don't know,8,,
108,default,,3,3,3,CNPC,,,UG,GAP,46,,,0,Don't know,9,,
108,default,,4,1,2,CNPC,,,CNPC,GAP,9,,,0.72,Incorrect,10,,
108,default,,4,3,3,CNPC,,,UG,GAP,45,,,0.05,Don't know,11,,
108,default,,4,1,0,CNPC,,,FILL,GAP,33,,,1,Correct,12,,
108,default,,5,0,0,CNPC,,,CNPC,GAP,8,,,1,Correct,13,,
108,default,,5,2,0,CNPC,,,FILL,GAP,32,,,1,Correct,14,,
108,default,,5,3,3,CNPC,,,UG,GAP,44,,,0,Don't know,15,,
108,default,,6,1,0,CNPC,,,FILL,GAP,31,,,1,Correct,16,,
108,default,,6,3,3,CNPC,,,UG,GAP,43,,,0,Don't know,17,,
108,default,,6,0,0,CNPC,,,CNPC,GAP,7,,,0.66,Correct,18,,
108,default,,7,0,0,CNPC,,,CNPC,GAP,6,,,1,Correct,19,,
108,default,,7,2,0,CNPC,,,FILL,GAP,30,,,0.99,Correct,20,,
108,default,,7,3,3,CNPC,,,UG,GAP,42,,,0,Don't know,21,,
108,default,,8,3,3,CNPC,,,UG,GAP,41,,,0.04,Don't know,22,,
108,default,,8,1,0,CNPC,,,CNPC,GAP,5,,,1,Correct,23,,
108,default,,8,0,0,CNPC,,,FILL,GAP,29,,,1,Correct,24,,
108,default,,9,0,0,CNPC,,,FILL,GAP,28,,,1,Correct,25,,
108,default,,9,1,0,CNPC,,,CNPC,GAP,4,,,0.86,Correct,26,,
108,default,,9,3,3,CNPC,,,UG,GAP,40,,,0.03,Don't know,27,,
108,default,,10,1,0,CNPC,,,CNPC,GAP,3,,,1,Correct,28,,
108,default,,10,0,0,CNPC,,,FILL,GAP,27,,,1,Correct,29,,
108,default,,10,3,3,CNPC,,,UG,GAP,39,,,0.06,Don't know,30,,
108,default,,11,0,0,CNPC,,,CNPC,GAP,2,,,1,Correct,31,,
108,default,,11,0,0,CNPC,,,FILL,GAP,26,,,1,Correct,32,,
108,default,,11,3,3,CNPC,,,UG,GAP,38,,,0,Don't know,33,,
108,default,,12,3,3,CNPC,,,UG,GAP,37,,,0,Don't know,34,,
108,default,,12,1,0,CNPC,,,CNPC,GAP,1,,,0.83,Correct,35,,
108,default,,12,0,0,CNPC,,,FILL,GAP,25,,,1,Correct,36,,
220,default,b,practice,,,,,GAP,,,practice_good,practice_good,0.84,,,0,0,
220,default,d,practice,,,,,GAP,,,practice_good,practice_good,0,,,0,0,
220,default,,1,2,1,CNPC,,,CNPC,GAP,12,,,0.23,Incorrect,1,,
220,default,,1,3,3,CNPC,,,UG,GAP,48,,,0,Don't know,2,,
220,default,,1,0,0,CNPC,,,FILL,GAP,36,,,0.89,Correct,3,,
220,default,,2,1,0,CNPC,,,CNPC,GAP,11,,,0.28,Correct,4,,
220,default,,2,2,0,CNPC,,,UG,GAP,47,,,0.03,Correct,5,,
220,default,,2,1,0,CNPC,,,FILL,GAP,35,,,0.88,Correct,6,,
220,default,,3,2,0,CNPC,,,FILL,GAP,34,,,0.85,Correct,7,,
220,default,,3,3,3,CNPC,,,UG,GAP,46,,,0.04,Don't know,8,,
220,default,,3,1,1,CNPC,,,CNPC,GAP,10,,,0.25,Incorrect,9,,
220,default,,4,0,0,CNPC,,,CNPC,GAP,9,,,0.33,Correct,10,,
220,default,,4,2,0,CNPC,,,FILL,GAP,33,,,0.89,Correct,11,,
220,default,,4,3,3,CNPC,,,UG,GAP,45,,,0.03,Don't know,12,,
220,default,,5,0,0,CNPC,,,UG,GAP,44,,,0.01,Correct,13,,
220,default,,5,0,0,CNPC,,,FILL,GAP,32,,,0.97,Correct,14,,
220,default,,5,1,1,CNPC,,,CNPC,GAP,8,,,0.37,Incorrect,15,,
220,default,,6,0,0,CNPC,,,FILL,GAP,31,,,0.7,Correct,16,,
220,default,,6,3,3,CNPC,,,UG,GAP,43,,,0.02,Don't know,17,,
220,default,,6,3,3,CNPC,,,CNPC,GAP,7,,,0.38,Don't know,18,,
220,default,,7,3,3,CNPC,,,UG,GAP,42,,,0,Don't know,19,,
220,default,,7,2,0,CNPC,,,CNPC,GAP,6,,,0.47,Correct,20,,
220,default,,7,2,0,CNPC,,,FILL,GAP,30,,,0.96,Correct,21,,
220,default,,8,1,0,CNPC,,,CNPC,GAP,5,,,0.38,Correct,22,,
220,default,,8,3,3,CNPC,,,UG,GAP,41,,,0.02,Don't know,23,,
220,default,,8,0,0,CNPC,,,FILL,GAP,29,,,0.9,Correct,24,,
220,default,,9,1,2,CNPC,,,CNPC,GAP,4,,,0.17,Incorrect,25,,
220,default,,9,2,0,CNPC,,,FILL,GAP,28,,,0.69,Correct,26,,
220,default,,9,3,3,CNPC,,,UG,GAP,40,,,0.01,Don't know,27,,
220,default,,10,3,3,CNPC,,,UG,GAP,39,,,0.04,Don't know,28,,
220,default,,10,2,0,CNPC,,,FILL,GAP,27,,,0.98,Correct,29,,
220,default,,10,2,0,CNPC,,,CNPC,GAP,3,,,0.64,Correct,30,,
220,default,,11,1,0,CNPC,,,CNPC,GAP,2,,,0.39,Correct,31,,
220,default,,11,0,0,CNPC,,,FILL,GAP,26,,,0.94,Correct,32,,
220,default,,11,2,0,CNPC,,,UG,GAP,38,,,0.02,Correct,33,,
220,default,,12,2,0,CNPC,,,FILL,GAP,25,,,0.89,Correct,34,,
220,default,,12,2,0,CNPC,,,CNPC,GAP,1,,,0.74,Correct,35,,
220,default,,12,2,0,CNPC,,,UG,GAP,37,,,0,Correct,36,,
95,default,b,practice,,,,,GAP,,,practice_good,practice_good,0.79,,,0,0,
95,default,d,practice,,,,c,GAP,,,practice_good,practice_good,0.05,,,0,5,
95,default,,1,0,0,CNPC,,,FILL,GAP,36,,,0.55,Correct,1,,
95,default,,1,3,3,CNPC,,,UG,GAP,48,,,0.1,Don't know,2,,
95,default,,1,3,3,CNPC,,,CNPC,GAP,12,,,0.28,Don't know,3,,
95,default,,2,1,0,CNPC,,,FILL,GAP,35,,,0.59,Correct,4,,
95,default,,2,3,3,CNPC,,,CNPC,GAP,11,,,0.23,Don't know,5,,
95,default,,2,3,3,CNPC,,,UG,GAP,47,,,0.03,Don't know,6,,
95,default,,3,3,3,CNPC,,,UG,GAP,46,,,0.02,Don't know,7,,
95,default,,3,3,3,CNPC,,,CNPC,GAP,10,,,0.1,Don't know,8,,
95,default,,3,1,0,CNPC,,,FILL,GAP,34,,,0.63,Correct,9,,
95,default,,4,3,3,CNPC,,,UG,GAP,45,,,0.03,Don't know,10,,
95,default,,4,1,0,CNPC,,,FILL,GAP,33,,,0.5,Correct,11,,
95,default,,4,3,3,CNPC,,,CNPC,GAP,9,,,0.02,Don't know,12,,
95,default,,5,3,3,CNPC,,,CNPC,GAP,8,,,0.1,Don't know,13,,
95,default,,5,3,3,CNPC,,,UG,GAP,44,,,0.02,Don't know,14,,
95,default,,5,1,0,CNPC,,,FILL,GAP,32,,,0.69,Correct,15,,
95,default,,6,2,1,CNPC,,,FILL,GAP,31,,,0.55,Incorrect,16,,
95,default,,6,3,3,CNPC,,,CNPC,GAP,7,,,0.17,Don't know,17,,
95,default,,6,3,3,CNPC,,,UG,GAP,43,,,0.04,Don't know,18,,
95,default,,7,1,0,CNPC,,,FILL,GAP,30,,,0.64,Correct,19,,
95,default,,7,3,3,CNPC,,,UG,GAP,42,,,0.05,Don't know,20,,
95,default,,7,0,0,CNPC,,,CNPC,GAP,6,,,0.36,Correct,21,,
95,default,,8,3,3,CNPC,,,CNPC,GAP,5,,,0.17,Don't know,22,,
95,default,,8,3,3,CNPC,,,UG,GAP,41,,,0.07,Don't know,23,,
95,default,,8,0,0,CNPC,,,FILL,GAP,29,,,0.75,Correct,24,,
95,default,,9,2,0,CNPC,,,FILL,GAP,28,,,0.47,Correct,25,,
95,default,,9,3,3,CNPC,,,UG,GAP,40,,,0.01,Don't know,26,,
95,default,,9,1,0,CNPC,,,CNPC,GAP,4,,,0.24,Correct,27,,
95,default,,10,3,3,CNPC,,,UG,GAP,39,,,0.04,Don't know,28,,
95,default,,10,0,0,CNPC,,,CNPC,GAP,3,,,0.22,Correct,29,,
95,default,,10,1,0,CNPC,,,FILL,GAP,27,,,0.48,Correct,30,,
95,default,,11,0,0,CNPC,,,CNPC,GAP,2,,,0.42,Correct,31,,
95,default,,11,1,2,CNPC,,,FILL,GAP,26,,,0.59,Incorrect,32,,
