workerid,proliferate.condition,answer_of_comprehension,attention_answer,attention_correctness,block_sequence,choosed_choice,comprehension_response,condition,context_attempts,context_response,first_response_value,item_context_condition,item_number,item_sentence_type,item_type,rating,rating_response,response_correctness,tested_context_condition,tested_sentence_type,trial_sequence_total,wrong_attempts,error
648,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,0.77,,,,,0,0,
648,default,d,,,practice,,,NC,0,a,b,,practice_good,,practice_good,0,,,,,0,1,
648,default,,2,Null,1,1,0,,,,,NC,120,FILL,,,0.29,Correct,NC,WH,1,,
648,default,,2,Null,1,1,0,,,,,NC,128,UG,,,0.85,Correct,NC,WH,2,,
648,default,,2,Null,1,3,3,,,,,NC,12,WH,,,0.21,Don't know,NC,WH,3,,
648,default,,2,Null,2,2,0,,,,,NC,119,FILL,,,0,Correct,NC,WH,4,,
648,default,,2,Null,2,1,1,,,,,NC,11,WH,,,0.18,Incorrect,NC,WH,5,,
648,default,,2,Null,2,1,0,,,,,NC,127,UG,,,0.12,Correct,NC,WH,6,,
648,default,,0,correct,3,0,1,,,,,NC,10,WH,,,0.34,Incorrect,NC,WH,7,,
648,default,,1,correct,3,2,0,,,,,NC,126,UG,,,0,Correct,NC,WH,8,,
648,default,,2,Null,3,2,0,,,,,NC,118,FILL,,,0.13,Correct,NC,WH,9,,
648,default,,0,correct,4,1,1,,,,,NC,9,WH,,,0,Incorrect,NC,WH,10,,
648,default,,1,correct,4,0,0,,,,,NC,117,FILL,,,0.26,Correct,NC,WH,11,,
648,default,,2,Null,4,0,0,,,,,NC,125,UG,,,0.15,Correct,NC,WH,12,,
648,default,,2,Null,5,2,1,,,,,NC,8,WH,,,0.21,Incorrect,NC,WH,13,,
648,default,,1,correct,5,2,0,,,,,NC,116,FILL,,,0.58,Correct,NC,WH,14,,
648,default,,2,Null,5,3,3,,,,,NC,124,UG,,,0.02,Don't know,NC,WH,15,,
648,default,,2,Null,6,0,1,,,,,NC,123,UG,,,0,Incorrect,NC,WH,16,,
648,default,,2,Null,6,0,0,,,,,NC,115,FILL,,,0.6,Correct,NC,WH,17,,
648,default,,2,Null,6,0,0,,,,,NC,7,WH,,,0.16,Correct,NC,WH,18,,
648,default,,2,Null,7,3,3,,,,,NC,6,WH,,,0.42,Don't know,NC,WH,19,,
648,default,,2,Null,7,0,0,,,,,NC,122,UG,,,0.23,Correct,NC,WH,20,,
648,default,,1,correct,7,2,0,,,,,NC,114,FILL,,,0.67,Correct,NC,WH,21,,
648,default,,2,Null,8,0,0,,,,,NC,5,WH,,,0.45,Correct,NC,WH,22,,
648,default,,2,Null,8,2,0,,,,,NC,121,UG,,,0.37,Correct,NC,WH,23,,
648,default,,2,Null,8,0,0,,,,,NC,113,FILL,,,0.61,Correct,NC,WH,24,,
888,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,0.9,,,,,0,0,
888,default,d,,,practice,,,NC,0,a,,,practice_good,,practice_good,0,,,,,0,0,
888,default,,2,Null,1,1,0,,,,,NC,120,FILL,,,0.74,Correct,NC,CNPC,1,,
888,default,,2,Null,1,0,0,,,,,NC,12,CNPC,,,0.34,Correct,NC,CNPC,2,,
888,default,,2,Null,1,3,3,,,,,NC,128,UG,,,0,Don't know,NC,CNPC,3,,
888,default,,2,Null,2,3,3,,,,,NC,127,UG,,,0.09,Don't know,NC,CNPC,4,,
888,default,,2,Null,2,1,0,,,,,NC,119,FILL,,,0.87,Correct,NC,CNPC,5,,
888,default,,2,Null,2,1,2,,,,,NC,11,CNPC,,,0.57,Incorrect,NC,CNPC,6,,
888,default,,2,Null,3,3,3,,,,,NC,126,UG,,,0,Don't know,NC,CNPC,7,,
888,default,,2,Null,3,2,0,,,,,NC,118,FILL,,,1,Correct,NC,CNPC,8,,
888,default,,2,Null,3,0,1,,,,,NC,10,CNPC,,,0.74,Incorrect,NC,CNPC,9,,
888,default,,0,correct,4,1,0,,,,,NC,9,CNPC,,,0.5,Correct,NC,CNPC,10,,
888,default,,1,correct,4,2,0,,,,,NC,117,FILL,,,1,Correct,NC,CNPC,11,,
888,default,,2,Null,4,3,3,,,,,NC,125,UG,,,0,Don't know,NC,CNPC,12,,
888,default,,2,Null,5,1,0,,,,,NC,8,CNPC,,,0.46,Correct,NC,CNPC,13,,
888,default,,0,correct,5,3,3,,,,,NC,124,UG,,,0,Don't know,NC,CNPC,14,,
888,default,,2,Null,5,2,0,,,,,NC,116,FILL,,,0.93,Correct,NC,CNPC,15,,
888,default,,2,Null,6,1,1,,,,,NC,7,CNPC,,,0.81,Incorrect,NC,CNPC,16,,
888,default,,2,Null,6,2,0,,,,,NC,115,FILL,,,1,Correct,NC,CNPC,17,,
888,default,,2,Null,6,3,3,,,,,NC,123,UG,,,0,Don't know,NC,CNPC,18,,
888,default,,2,Null,7,0,0,,,,,NC,122,UG,,,0,Correct,NC,CNPC,19,,
888,default,,1,correct,7,2,0,,,,,NC,6,CNPC,,,0.74,Correct,NC,CNPC,20,,
888,default,,1,correct,7,2,0,,,,,NC,114,FILL,,,1,Correct,NC,CNPC,21,,
888,default,,2,Null,8,3,3,,,,,NC,121,UG,,,0.09,Don't know,NC,CNPC,22,,
888,default,,2,Null,8,2,2,,,,,NC,113,FILL,,,0.7,Incorrect,NC,CNPC,23,,
888,default,,0,correct,8,0,0,,,,,NC,5,CNPC,,,0.56,Correct,NC,CNPC,24,,
679,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,0.97,,,,,0,0,
679,default,d,,,practice,,,NC,0,a,c,,practice_good,,practice_good,0.03,,,,,0,3,
679,default,,0,correct,1,0,1,,,,,NC,12,WH,,,0.13,Incorrect,NC,WH,1,,
679,default,,0,correct,1,2,0,,,,,NC,120,FILL,,,0.94,Correct,NC,WH,2,,
679,default,,2,Null,1,2,0,,,,,NC,128,UG,,,0.06,Correct,NC,WH,3,,
679,default,,2,Null,2,2,0,,,,,NC,127,UG,,,0.07,Correct,NC,WH,4,,
679,default,,2,Null,2,0,2,,,,,NC,11,WH,,,0.48,Incorrect,NC,WH,5,,
679,default,,1,correct,2,2,0,,,,,NC,119,FILL,,,0.94,Correct,NC,WH,6,,
679,default,,2,Null,3,1,0,,,,,NC,118,FILL,,,0.92,Correct,NC,WH,7,,
679,default,,1,correct,3,3,3,,,,,NC,126,UG,,,0.06,Don't know,NC,WH,8,,
679,default,,2,Null,3,3,3,,,,,NC,10,WH,,,0.35,Don't know,NC,WH,9,,
679,default,,2,Null,4,3,3,,,,,NC,117,FILL,,,0.81,Don't know,NC,WH,10,,
679,default,,0,correct,4,3,3,,,,,NC,125,UG,,,0,Don't know,NC,WH,11,,
679,default,,2,Null,4,1,0,,,,,NC,9,WH,,,0.93,Correct,NC,WH,12,,
679,default,,2,Null,5,3,3,,,,,NC,124,UG,,,0.01,Don't know,NC,WH,13,,
679,default,,2,Null,5,0,1,,,,,NC,8,WH,,,0.51,Incorrect,NC,WH,14,,
679,default,,2,Null,5,2,0,,,,,NC,116,FILL,,,0.41,Correct,NC,WH,15,,
679,default,,2,Null,6,3,3,,,,,NC,123,UG,,,0.02,Don't know,NC,WH,16,,
679,default,,0,correct,6,0,0,,,,,NC,115,FILL,,,0.92,Correct,NC,WH,17,,
679,default,,2,Null,6,0,1,,,,,NC,7,WH,,,0.55,Incorrect,NC,WH,18,,
679,default,,2,Null,7,1,0,,,,,NC,114,FILL,,,0.84,Correct,NC,WH,19,,
679,default,,2,Null,7,2,0,,,,,NC,6,WH,,,0.77,Correct,NC,WH,20,,
679,default,,2,Null,7,3,3,,,,,NC,122,UG,,,0.03,Don't know,NC,WH,21,,
679,default,,2,Null,8,2,0,,,,,NC,121,UG,,,0.31,Correct,NC,WH,22,,
679,default,,2,Null,8,0,0,,,,,NC,113,FILL,,,0.5,Correct,NC,WH,23,,
679,default,,2,Null,8,1,0,,,,,NC,5,WH,,,0.67,Correct,NC,WH,24,,
941,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,0.7,,,,,0,0,
941,default,d,,,practice,,,NC,0,a,c,,practice_good,,practice_good,0.08,,,,,0,5,
941,default,,0,correct,1,1,1,,,,,NC,12,CNPC,,,0.55,Incorrect,NC,CNPC,1,,
941,default,,2,Null,1,0,0,,,,,NC,120,FILL,,,0.81,Correct,NC,CNPC,2,,
941,default,,2,Null,1,1,0,,,,,NC,128,UG,,,0.07,Correct,NC,CNPC,3,,
941,default,,2,Null,2,0,2,,,,,NC,11,CNPC,,,0.5,Incorrect,NC,CNPC,4,,
941,default,,2,Null,2,1,0,,,,,NC,119,FILL,,,0.74,Correct,NC,CNPC,5,,
941,default,,2,Null,2,3,3,,,,,NC,127,UG,,,0.07,Don't know,NC,CNPC,6,,
941,default,,1,correct,3,0,1,,,,,NC,126,UG,,,0.07,Incorrect,NC,CNPC,7,,
941,default,,2,Null,3,1,0,,,,,NC,118,FILL,,,0.86,Correct,NC,CNPC,8,,
941,default,,2,Null,3,1,0,,,,,NC,10,CNPC,,,0.67,Correct,NC,CNPC,9,,
941,default,,2,Null,4,0,0,,,,,NC,117,FILL,,,0.95,Correct,NC,CNPC,10,,
941,default,,2,Null,4,0,0,,,,,NC,9,CNPC,,,0.62,Correct,NC,CNPC,11,,
941,default,,2,Null,4,3,3,,,,,NC,125,UG,,,0.07,Don't know,NC,CNPC,12,,
941,default,,2,Null,5,0,0,,,,,NC,8,CNPC,,,0.73,Correct,NC,CNPC,13,,
941,default,,2,Null,5,1,1,,,,,NC,124,UG,,,0.1,Incorrect,NC,CNPC,14,,
941,default,,1,correct,5,1,0,,,,,NC,116,FILL,,,0.61,Correct,NC,CNPC,15,,
941,default,,1,correct,6,2,0,,,,,NC,7,CNPC,,,0.67,Correct,NC,CNPC,16,,
941,default,,0,correct,6,3,3,,,,,NC,123,UG,,,0.11,Don't know,NC,CNPC,17,,
941,default,,2,Null,6,0,0,,,,,NC,115,FILL,,,0.42,Correct,NC,CNPC,18,,
941,default,,2,Null,7,0,0,,,,,NC,122,UG,,,0.1,Correct,NC,CNPC,19,,
941,default,,1,correct,7,2,0,,,,,NC,6,CNPC,,,0.63,Correct,NC,CNPC,20,,
941,default,,2,Null,7,1,0,,,,,NC,114,FILL,,,0.71,Correct,NC,CNPC,21,,
941,default,,2,Null,8,2,0,,,,,NC,113,FILL,,,0.91,Correct,NC,CNPC,22,,
941,default,,2,Null,8,2,0,,,,,NC,121,UG,,,0.25,Correct,NC,CNPC,23,,
941,default,,2,Null,8,1,0,,,,,NC,5,CNPC,,,0.67,Correct,NC,CNPC,24,,
934,default,b,,,practice,,,SC,,,,,practice_good,,practice_good,0.92,,,,,0,0,
934,default,d,,,practice,,,SC,0,a,,,practice_good,,practice_good,0.03,,,,,0,0,
934,default,,2,Null,1,3,3,,,,,SC,128,UG,,,0.06,Don't know,SC,WH,1,,
934,default,,2,Null,1,2,0,,,,,SC,120,FILL,,,0.76,Correct,SC,WH,2,,
934,default,,2,Null,1,2,0,,,,,SC,12,WH,,,0.19,Correct,SC,WH,3,,
934,default,,2,Null,2,0,0,,,,,SC,11,WH,,,0.2,Correct,SC,WH,4,,
934,default,,0,correct,2,2,0,,,,,SC,127,UG,,,0.04,Correct,SC,WH,5,,
934,default,,2,Null,2,0,0,,,,,SC,119,FILL,,,0.76,Correct,SC,WH,6,,
934,default,,2,Null,3,1,0,,,,,SC,118,FILL,,,0.73,Correct,SC,WH,7,,
934,default,,2,Null,3,0,0,,,,,SC,10,WH,,,0.78,Correct,SC,WH,8,,
934,default,,2,Null,3,1,0,,,,,SC,126,UG,,,0.32,Correct,SC,WH,9,,
934,default,,2,Null,4,2,0,,,,,SC,117,FILL,,,0.83,Correct,SC,WH,10,,
934,default,,2,Null,4,3,3,,,,,SC,125,UG,,,0.16,Don't know,SC,WH,11,,
934,default,,2,Null,4,2,2,,,,,SC,9,WH,,,0.79,Incorrect,SC,WH,12,,
934,default,,1,correct,5,1,0,,,,,SC,116,FILL,,,0.69,Correct,SC,WH,13,,
934,default,,2,Null,5,2,0,,,,,SC,124,UG,,,0.19,Correct,SC,WH,14,,
934,default,,2,Null,5,1,1,,,,,SC,8,WH,,,0.65,Incorrect,SC,WH,15,,
934,default,,2,Null,6,0,0,,,,,SC,123,UG,,,0.37,Correct,SC,WH,16,,
934,default,,2,Null,6,1,1,,,,,SC,7,WH,,,0.73,Incorrect,SC,WH,17,,
934,default,,0,correct,6,0,0,,,,,SC,115,FILL,,,0.94,Correct,SC,WH,18,,
934,default,,2,Null,7,1,0,,,,,SC,114,FILL,,,0.68,Correct,SC,WH,19,,
934,default,,2,Null,7,3,3,,,,,SC,6,WH,,,0.61,Don't know,SC,WH,20,,
934,default,,2,Null,7,1,0,,,,,SC,122,UG,,,0.27,Correct,SC,WH,21,,
934,default,,0,correct,8,0,0,,,,,SC,113,FILL,,,0.78,Correct,SC,WH,22,,
934,default,,1,correct,8,2,0,,,,,SC,121,UG,,,0.29,Correct,SC,WH,23,,
934,default,,0,correct,8,3,3,,,,,SC,5,WH,,,0.83,Don't know,SC,WH,24,,
953,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,0.98,,,,,0,0,
953,default,d,,,practice,,,NC,0,a,b,,practice_good,,practice_good,0,,,,,0,3,
953,default,,0,correct,1,2,0,,,,,NC,120,FILL,,,0.89,Correct,NC,WH,1,,
953,default,,2,Null,1,1,1,,,,,NC,12,WH,,,0.06,Incorrect,NC,WH,2,,
953,default,,2,Null,1,0,0,,,,,NC,128,UG,,,0,Correct,NC,WH,3,,
953,default,,0,correct,2,3,3,,,,,NC,127,UG,,,0.12,Don't know,NC,WH,4,,
953,default,,2,Null,2,0,2,,,,,NC,11,WH,,,0.27,Incorrect,NC,WH,5,,
953,default,,1,correct,2,2,0,,,,,NC,119,FILL,,,0.75,Correct,NC,WH,6,,
953,default,,2,Null,3,3,3,,,,,NC,126,UG,,,0.08,Don't know,NC,WH,7,,
953,default,,2,Null,3,3,3,,,,,NC,10,WH,,,0.04,Don't know,NC,WH,8,,
953,default,,2,Null,3,2,0,,,,,NC,118,FILL,,,0.37,Correct,NC,WH,9,,
953,default,,2,Null,4,0,0,,,,,NC,9,WH,,,0.26,Correct,NC,WH,10,,
953,default,,2,Null,4,2,0,,,,,NC,117,FILL,,,0.45,Correct,NC,WH,11,,
953,default,,2,Null,4,3,3,,,,,NC,125,UG,,,0.08,Don't know,NC,WH,12,,
953,default,,0,correct,5,3,3,,,,,NC,124,UG,,,0,Don't know,NC,WH,13,,
953,default,,2,Null,5,2,0,,,,,NC,116,FILL,,,0.91,Correct,NC,WH,14,,
953,default,,2,Null,5,3,3,,,,,NC,8,WH,,,0.1,Don't know,NC,WH,15,,
953,default,,2,Null,6,3,3,,,,,NC,123,UG,,,0.17,Don't know,NC,WH,16,,
953,default,,2,Null,6,1,0,,,,,NC,115,FILL,,,0.83,Correct,NC,WH,17,,
953,default,,2,Null,6,3,3,,,,,NC,7,WH,,,0.56,Don't know,NC,WH,18,,
953,default,,1,correct,7,1,0,,,,,NC,6,WH,,,0.84,Correct,NC,WH,19,,
953,default,,2,Null,7,2,0,,,,,NC,122,UG,,,0.58,Correct,NC,WH,20,,
953,default,,2,Null,7,0,0,,,,,NC,114,FILL,,,0.87,Correct,NC,WH,21,,
953,default,,2,Null,8,1,0,,,,,NC,121,UG,,,0.11,Correct,NC,WH,22,,
953,default,,2,Null,8,0,0,,,,,NC,5,WH,,,0.88,Correct,NC,WH,23,,
953,default,,0,correct,8,2,0,,,,,NC,113,FILL,,,0.68,Correct,NC,WH,24,,
708,default,b,,,practice,,,SC,,,,,practice_good,,practice_good,0.84,,,,,0,0,
708,default,d,,,practice,,,SC,0,a,c,,practice_good,,practice_good,0.16,,,,,0,3,
708,default,,0,correct,1,0,0,,,,,SC,120,FILL,,,0.51,Correct,SC,WH,1,,
708,default,,2,Null,1,2,1,,,,,SC,12,WH,,,0.46,Incorrect,SC,WH,2,,
708,default,,2,Null,1,3,3,,,,,SC,128,UG,,,0.18,Don't know,SC,WH,3,,
708,default,,2,Null,2,2,0,,,,,SC,119,FILL,,,0.51,Correct,SC,WH,4,,
708,default,,0,correct,2,0,0,,,,,SC,127,UG,,,0.12,Correct,SC,WH,5,,
708,default,,0,correct,2,2,0,,,,,SC,11,WH,,,0.31,Correct,SC,WH,6,,
708,default,,2,Null,3,3,3,,,,,SC,126,UG,,,0.14,Don't know,SC,WH,7,,
708,default,,0,correct,3,2,0,,,,,SC,118,FILL,,,0.51,Correct,SC,WH,8,,
708,default,,2,Null,3,1,1,,,,,SC,10,WH,,,0.42,Incorrect,SC,WH,9,,
708,default,,1,correct,4,2,0,,,,,SC,117,FILL,,,0.48,Correct,SC,WH,10,,
708,default,,2,Null,4,2,0,,,,,SC,125,UG,,,0.27,Correct,SC,WH,11,,
708,default,,2,Null,4,1,1,,,,,SC,9,WH,,,0.42,Incorrect,SC,WH,12,,
708,default,,0,correct,5,1,0,,,,,SC,8,WH,,,0.25,Correct,SC,WH,13,,
708,default,,2,Null,5,2,0,,,,,SC,116,FILL,,,0.28,Correct,SC,WH,14,,
708,default,,2,Null,5,3,3,,,,,SC,124,UG,,,0.09,Don't know,SC,WH,15,,
708,default,,2,Null,6,3,3,,,,,SC,123,UG,,,0.23,Don't know,SC,WH,16,,
708,default,,2,Null,6,0,0,,,,,SC,115,FILL,,,0.37,Correct,SC,WH,17,,
708,default,,2,Null,6,1,1,,,,,SC,7,WH,,,0.37,Incorrect,SC,WH,18,,
708,default,,2,Null,7,2,0,,,,,SC,122,UG,,,0.13,Correct,SC,WH,19,,
708,default,,2,Null,7,3,3,,,,,SC,6,WH,,,0.49,Don't know,SC,WH,20,,
708,default,,2,Null,7,2,0,,,,,SC,114,FILL,,,0.53,Correct,SC,WH,21,,
708,default,,2,Null,8,0,0,,,,,SC,5,WH,,,0.47,Correct,SC,WH,22,,
708,default,,2,Null,8,2,0,,,,,SC,121,UG,,,0.04,Correct,SC,WH,23,,
708,default,,2,Null,8,3,3,,,,,SC,113,FILL,,,0.39,Don't know,SC,WH,24,,
920,default,b,,,practice,,,SC,,,,,practice_good,,practice_good,1,,,,,0,0,
920,default,d,,,practice,,,SC,0,a,c,,practice_good,,practice_good,0,,,,,0,3,
920,default,,2,Null,1,2,0,,,,,SC,120,FILL,,,1,Correct,SC,CNPC,1,,
920,default,,2,Null,1,0,1,,,,,SC,12,CNPC,,,0.24,Incorrect,SC,CNPC,2,,
920,default,,2,Null,1,1,0,,,,,SC,128,UG,,,0,Correct,SC,CNPC,3,,
920,default,,2,Null,2,3,3,,,,,SC,127,UG,,,0.01,Don't know,SC,CNPC,4,,
920,default,,2,Null,2,0,0,,,,,SC,11,CNPC,,,0.25,Correct,SC,CNPC,5,,
920,default,,2,Null,2,2,0,,,,,SC,119,FILL,,,1,Correct,SC,CNPC,6,,
920,default,,2,Null,3,1,1,,,,,SC,126,UG,,,0.19,Incorrect,SC,CNPC,7,,
920,default,,0,correct,3,0,0,,,,,SC,118,FILL,,,1,Correct,SC,CNPC,8,,
920,default,,2,Null,3,1,1,,,,,SC,10,CNPC,,,0.46,Incorrect,SC,CNPC,9,,
920,default,,2,Null,4,2,0,,,,,SC,117,FILL,,,1,Correct,SC,CNPC,10,,
920,default,,2,Null,4,2,2,,,,,SC,9,CNPC,,,0.5,Incorrect,SC,CNPC,11,,
920,default,,2,Null,4,3,3,,,,,SC,125,UG,,,0.05,Don't know,SC,CNPC,12,,
920,default,,2,Null,5,1,1,,,,,SC,8,CNPC,,,0.63,Incorrect,SC,CNPC,13,,
920,default,,2,Null,5,3,3,,,,,SC,124,UG,,,0,Don't know,SC,CNPC,14,,
920,default,,1,correct,5,0,0,,,,,SC,116,FILL,,,0.83,Correct,SC,CNPC,15,,
920,default,,0,correct,6,0,0,,,,,SC,115,FILL,,,1,Correct,SC,CNPC,16,,
920,default,,2,Null,6,2,0,,,,,SC,123,UG,,,0.08,Correct,SC,CNPC,17,,
920,default,,1,correct,6,0,0,,,,,SC,7,CNPC,,,1,Correct,SC,CNPC,18,,
920,default,,2,Null,7,2,0,,,,,SC,122,UG,,,0,Correct,SC,CNPC,19,,
920,default,,2,Null,7,3,3,,,,,SC,6,CNPC,,,0.37,Don't know,SC,CNPC,20,,
920,default,,2,Null,7,1,0,,,,,SC,114,FILL,,,1,Correct,SC,CNPC,21,,
920,default,,2,Null,8,0,0,,,,,SC,113,FILL,,,0.9,Correct,SC,CNPC,22,,
920,default,,1,correct,8,1,0,,,,,SC,121,UG,,,0,Correct,SC,CNPC,23,,
920,default,,0,correct,8,1,0,,,,,SC,5,CNPC,,,0.69,Correct,SC,CNPC,24,,
1026,default,b,,,practice,,,SC,,,,,practice_good,,practice_good,0.75,,,,,0,0,
1026,default,d,,,practice,,,SC,0,a,c,,practice_good,,practice_good,0,,,,,0,4,
1026,default,,2,Null,1,2,0,,,,,SC,128,UG,,,0.09,Correct,SC,WH,1,,
1026,default,,2,Null,1,2,0,,,,,SC,12,WH,,,0.05,Correct,SC,WH,2,,
1026,default,,2,Null,1,1,0,,,,,SC,120,FILL,,,0.91,Correct,SC,WH,3,,
1026,default,,2,Null,2,2,0,,,,,SC,127,UG,,,0.11,Correct,SC,WH,4,,
1026,default,,0,correct,2,2,0,,,,,SC,11,WH,,,0.03,Correct,SC,WH,5,,
1026,default,,2,Null,2,1,0,,,,,SC,119,FILL,,,0.88,Correct,SC,WH,6,,
1026,default,,2,Null,3,3,3,,,,,SC,126,UG,,,0.05,Don't know,SC,WH,7,,
1026,default,,2,Null,3,1,0,,,,,SC,118,FILL,,,0.92,Correct,SC,WH,8,,
1026,default,,0,correct,3,1,0,,,,,SC,10,WH,,,0.68,Correct,SC,WH,9,,
1026,default,,1,correct,4,2,0,,,,,SC,117,FILL,,,0.69,Correct,SC,WH,10,,
1026,default,,2,Null,4,2,0,,,,,SC,9,WH,,,0.66,Correct,SC,WH,11,,
1026,default,,0,correct,4,3,3,,,,,SC,125,UG,,,0.09,Don't know,SC,WH,12,,
1026,default,,2,Null,5,1,0,,,,,SC,8,WH,,,0.58,Correct,SC,WH,13,,
1026,default,,0,correct,5,1,2,,,,,SC,124,UG,,,0.11,Incorrect,SC,WH,14,,
